,ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CPC,CPA,Conversion Rate,CPM
0,708746,916,103916,30-34,M,15,7350,1.0,1.429999948,2,1.0,0.013605442176870748,1.429999948,1.429999948,100.0,0.19455781605442177
1,708749,916,103917,30-34,M,16,17861,2.0,1.820000023,2,,0.011197581322434353,0.9100000115,0.0,0.0,0.10189799132187448
3,708815,916,103928,30-34,M,28,4259,1.0,1.25,1,,0.023479690068091103,1.25,0.0,0.0,0.29349612585113877
4,708818,916,103928,30-34,M,28,4133,1.0,1.289999962,1,1.0,0.024195499637067505,1.289999962,1.289999962,100.0,0.31212193612388095
6,708889,916,103940,30-34,M,15,15615,3.0,4.769999981,1,,0.01921229586935639,1.5899999936666667,0.0,0.0,0.30547550310598787
7,708895,916,103941,30-34,M,16,10951,1.0,1.269999981,1,1.0,0.009131586156515388,1.269999981,1.269999981,100.0,0.11597114245274404
8,708953,916,103951,30-34,M,27,2355,1.0,1.5,1,,0.042462845010615716,1.5,0.0,0.0,0.6369426751592356
9,708958,916,103952,30-34,M,28,9502,3.0,3.159999967,1,,0.03157230056830141,1.0533333223333334,0.0,0.0,0.3325615625131551
14,709059,916,103968,30-34,M,20,14669,7.0,10.28000021,1,1.0,0.0477196809598473,1.4685714585714287,10.28000021,14.285714285714285,0.7007976146976618
16,709115,916,103978,30-34,M,30,2305,1.0,0.569999993,1,,0.04338394793926247,0.569999993,0.0,0.0,0.24728850021691978
18,709179,916,103988,35-39,M,15,4627,1.0,1.690000057,1,,0.02161227577263886,1.690000057,0.0,0.0,0.3652474728765939
19,709183,916,103989,35-39,M,16,21026,4.0,4.630000114,2,1.0,0.019024065442785124,1.1575000285,4.630000114,25.0,0.22020356292209647
21,709323,916,104012,35-39,M,15,7132,2.0,2.609999895,1,,0.028042624789680313,1.3049999475,0.0,0.0,0.3659562387829501
22,709326,916,104013,35-39,M,16,12190,2.0,3.049999952,1,,0.016406890894175553,1.524999976,0.0,0.0,0.25020508219852333
23,709327,916,104013,35-39,M,16,12193,2.0,3.059999943,1,1.0,0.01640285409661281,1.5299999715,3.059999943,50.0,0.25096366300336254
26,709544,916,104049,35-39,M,29,7440,2.0,2.980000019,1,1.0,0.026881720430107527,1.4900000095,2.980000019,50.0,0.4005376369623656
27,709614,916,104061,40-44,M,16,19113,4.0,5.5200001,1,,0.020928164076806362,1.380000025,0.0,0.0,0.2888086694919688
28,709756,916,104085,40-44,M,16,10976,2.0,1.690000057,1,1.0,0.018221574344023325,0.8450000285,1.690000057,50.0,0.15397230840014578
