,ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CPC,CPA,Conversion Rate,CPM
0,708746,916,103916,30-34,M,15,7350,1.0,1.429999948,2,1.0,0.013605442176870748,1.429999948,1.429999948,100.0,0.19455781605442177
4,708818,916,103928,30-34,M,28,4133,1.0,1.289999962,1,1.0,0.024195499637067505,1.289999962,1.289999962,100.0,0.31212193612388095
7,708895,916,103941,30-34,M,16,10951,1.0,1.269999981,1,1.0,0.009131586156515388,1.269999981,1.269999981,100.0,0.11597114245274404
14,709059,916,103968,30-34,M,20,14669,7.0,10.28000021,1,1.0,0.0477196809598473,1.4685714585714287,10.28000021,14.285714285714285,0.7007976146976618
16,709115,916,103978,30-34,M,30,2305,1.0,0.569999993,1,,0.04338394793926247,0.569999993,0.0,0.0,0.24728850021691978
34,710360,916,104185,45-49,M,21,2182,1.0,1.529999971,1,1.0,0.045829514207149404,1.529999971,1.529999971,100.0,0.7011915540788267
37,710571,916,104220,30-34,F,32,3091,1.0,1.610000014,1,1.0,0.03235198964736331,1.610000014,1.610000014,100.0,0.5208670378518279
49,711623,916,104396,40-44,F,15,3812,1.0,1.129999995,2,1.0,0.026232948583420776,1.129999995,1.129999995,100.0,0.2964323176810073
63,734352,936,108678,35-39,M,10,4423,1.0,1.460000038,1,1.0,0.022609088853719195,1.460000038,1.460000038,100.0,0.33009270585575406
65,734381,936,108683,35-39,M,20,2938,1.0,1.350000024,1,1.0,0.03403675970047651,1.350000024,1.350000024,100.0,0.4594962641252553
71,734582,936,108716,40-44,M,29,7709,2.0,1.320000052,2,,0.02594370216629913,0.660000026,0.0,0.0,0.1712284410429368
77,734785,936,108750,30-34,F,10,5576,1.0,1.529999971,1,1.0,0.01793400286944046,1.529999971,1.529999971,100.0,0.2743902387015782
84,734856,936,108762,30-34,F,27,5453,1.0,1.389999986,1,1.0,0.018338529249954154,1.389999986,1.389999986,100.0,0.2549055540069686
86,734881,936,108766,30-34,F,31,4259,1.0,1.570000052,1,1.0,0.023479690068091103,1.570000052,1.570000052,100.0,0.3686311462784691
88,734903,936,108770,30-34,F,64,5323,1.0,1.289999962,1,1.0,0.0187863986473793,1.289999962,1.289999962,100.0,0.24234453541236145
89,734925,936,108774,35-39,F,10,5024,1.0,1.409999967,1,1.0,0.019904458598726117,1.409999967,1.409999967,100.0,0.2806528596735669
95,735033,936,108792,35-39,F,36,652,,0.0,0,,0.0,0.0,0.0,0.0,0.0
112,736869,936,109448,30-34,M,2,2338,1.0,0.239999995,1,,0.0427715996578272,0.239999995,0.0,0.0,0.1026518370402053
123,737524,936,109601,40-44,M,30,2148,1.0,1.580000043,1,1.0,0.04655493482309125,1.580000043,1.580000043,100.0,0.7355679902234636
130,737931,936,109698,30-34,F,20,3343,1.0,0.540000021,1,,0.029913251570445706,0.540000021,0.0,0.0,0.16153156476218963
136,738307,936,109788,35-39,F,31,3010,1.0,0.860000014,1,1.0,0.03322259136212625,0.860000014,0.860000014,100.0,0.2857142903654485
146,738592,936,109850,45-49,F,16,493821,116.0,176.3799977,4,1.0,0.02349029304140569,1.520517221551724,176.3799977,0.8620689655172413,0.3571739510875398
150,738637,936,109857,45-49,F,24,944,1.0,1.419999957,1,,0.1059322033898305,1.419999957,0.0,0.0,1.5042372425847457
156,747223,936,110838,30-34,M,16,8032,1.0,0.600000024,2,,0.01245019920318725,0.600000024,0.0,0.0,0.07470119820717132
159,747362,936,110861,35-39,M,15,4607,1.0,1.149999976,1,1.0,0.021706099413935316,1.149999976,1.149999976,100.0,0.24962013805079225
162,747401,936,110867,35-39,M,22,2793,1.0,0.980000019,1,1.0,0.03580379520229145,0.980000019,0.980000019,100.0,0.35087719978517723
165,747489,936,110882,40-44,M,2,4016,2.0,1.480000049,1,1.0,0.049800796812749,0.7400000245,1.480000049,50.0,0.36852590861553786
184,747968,936,110962,35-39,F,21,512,,0.0,0,,0.0,0.0,0.0,0.0,0.0
202,748314,936,111020,45-49,F,31,7821,4.0,6.340000153,1,1.0,0.0511443549418233,1.58500003825,6.340000153,25.0,0.810638045390615
215,776416,936,115500,45-49,F,19,3659,1.0,0.49000001,1,1.0,0.027329871549603715,0.49000001,0.49000001,100.0,0.13391637332604536
217,776464,936,115508,45-49,F,29,7550,1.0,1.679999948,1,1.0,0.013245033112582781,1.679999948,1.679999948,100.0,0.2225165494039735
244,776663,936,115541,30-34,M,16,15753,1.0,0.569999993,1,1.0,0.006347997206881229,0.569999993,0.569999993,100.0,0.0361835836348632
245,776668,936,115542,40-44,M,19,3523,1.0,1.809999943,1,1.0,0.02838489923360772,1.809999943,1.809999943,100.0,0.5137666599489071
249,776696,936,115547,30-34,M,10,7966,1.0,1.179999948,1,1.0,0.012553351744915892,1.179999948,1.179999948,100.0,0.14812954406226464
252,776699,936,115547,30-34,M,10,8213,1.0,1.379999995,1,1.0,0.0121758188238159,1.379999995,1.379999995,100.0,0.1680262991598685
255,776780,936,115561,40-44,M,2,3812,2.0,3.049999952,1,,0.05246589716684155,1.524999976,0.0,0.0,0.8001049192025182
265,776928,936,115586,35-39,M,10,9750,2.0,1.5,1,1.0,0.020512820512820513,0.75,1.5,50.0,0.15384615384615385
267,777105,936,115615,45-49,M,63,4333,1.0,0.180000007,1,1.0,0.02307869836141242,0.180000007,0.180000007,100.0,0.04154165866605123
275,777235,936,115637,30-34,M,65,2883,1.0,0.99000001,1,1.0,0.0346860908775581,0.99000001,0.99000001,100.0,0.34339230315643426
279,777398,936,115677,35-39,M,24,3029,1.0,1.049999952,1,1.0,0.033014196104324864,1.049999952,1.049999952,100.0,0.3466490432485969
280,777410,936,115679,45-49,M,26,3490,1.0,1.340000033,1,1.0,0.028653295128939826,1.340000033,1.340000033,100.0,0.3839541641833811
289,777742,936,115735,35-39,M,64,4726,1.0,1.830000043,1,1.0,0.021159542953872196,1.830000043,1.830000043,100.0,0.38721964515446466
318,778626,936,115882,30-34,M,29,7629,1.0,0.720000029,1,1.0,0.013107877834578582,0.720000029,0.720000029,100.0,0.09437672421025037
321,778689,936,115892,30-34,M,28,7453,1.0,1.679999948,1,1.0,0.013417415805715819,1.679999948,1.679999948,100.0,0.22541257855896957
346,779871,936,116103,30-34,F,32,4402,1.0,1.330000043,1,1.0,0.022716946842344387,1.330000043,1.330000043,100.0,0.3021354027714675
348,779922,936,116111,30-34,F,18,5823,1.0,1.419999957,1,1.0,0.01717327837884252,1.419999957,1.419999957,100.0,0.2438605455950541
353,780104,936,116147,30-34,F,25,4971,1.0,1.230000019,1,1.0,0.020116676725005028,1.230000019,1.230000019,100.0,0.2474351275397304
359,780511,936,116220,30-34,F,63,6175,1.0,1.370000005,2,1.0,0.016194331983805668,1.370000005,1.370000005,100.0,0.22186234898785426
361,780653,936,116244,30-34,F,29,9076,1.0,1.379999995,1,1.0,0.011018069634200088,1.379999995,1.379999995,100.0,0.15204936040105774
371,780821,936,116277,30-34,F,23,6469,2.0,1.309999943,1,,0.030916679548616478,0.6549999715,0.0,0.0,0.20250424223218427
