,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,Conversion Rate (%)
0,2,1711374,311.0,503.45000469400003,34,15.0,4.823151125401929
1,7,2606575,410.0,648.929998696,52,16.0,3.902439024390244
2,10,17935367,3317.0,5086.379995233,253,83.0,2.502261079288514
3,15,10712519,1609.0,2597.259995234,182,57.0,3.5425730267246736
4,16,31691480,5144.0,8084.909989546,385,134.0,2.6049766718506997
5,18,8631584,1524.0,2425.070001347,75,31.0,2.0341207349081363
6,19,6081495,1188.0,1940.359992608,93,33.0,2.7777777777777777
7,20,6891995,1234.0,1960.770000597,120,45.0,3.6466774716369525
8,21,2819535,512.0,824.20999891,60,22.0,4.296875
9,22,3962275,717.0,1039.859997802,48,12.0,1.6736401673640167
10,23,1826570,375.0,595.6500009189999,24,5.0,1.3333333333333335
11,24,2255798,419.0,670.059998901,37,13.0,3.1026252983293556
12,25,5250418,1066.0,1603.859994223,76,19.0,1.7823639774859286
13,26,4848005,1113.0,1591.76999453,63,20.0,1.7969451931716083
14,27,16342554,3409.0,5176.1699922,232,53.0,1.5547081255500146
15,28,10944180,2024.0,3204.260003515,136,39.0,1.9268774703557312
16,29,18720765,3315.0,5045.190008213,289,124.0,3.7405731523378583
17,30,2187002,389.0,616.630002616,37,10.0,2.570694087403599
18,31,1046689,195.0,299.099999057,24,13.0,6.666666666666667
19,32,6439439,1138.0,1970.530003032,67,32.0,2.8119507908611596
20,36,918951,128.0,205.73999954500002,23,8.0,6.25
21,63,8336174,1675.0,2484.06000232,93,30.0,1.791044776119403
22,64,5068406,989.0,1486.129995663,72,22.0,2.224469160768453
23,65,1733358,372.0,542.010000733,29,16.0,4.301075268817205
24,66,882416,138.0,230.760000349,13,4.0,2.898550724637681
25,100,2023690,395.0,574.309992058,38,9.0,2.278481012658228
26,101,2960453,524.0,757.68999773,71,25.0,4.770992366412214
27,102,1160953,150.0,215.069999107,14,7.0,4.666666666666667
28,103,1921053,333.0,479.13000465,21,5.0,1.5015015015015014
29,104,1412110,265.0,387.91999924000004,43,8.0,3.018867924528302
30,105,2656351,453.0,647.79999262,32,6.0,1.3245033112582782
31,106,1592431,332.0,482.15000431000004,20,5.0,1.5060240963855422
32,107,4482111,639.0,923.17999302,65,20.0,3.1298904538341157
33,108,2763404,402.0,586.2000036000001,35,7.0,1.7412935323383085
34,109,2980365,572.0,815.82000146,38,8.0,1.3986013986013985
35,110,2434719,365.0,521.35000483,36,9.0,2.4657534246575343
36,111,1490896,260.0,370.64999778,30,10.0,3.8461538461538463
37,112,2324572,339.0,483.79999892499995,53,15.0,4.424778761061947
38,113,1830565,233.0,342.830000261,25,7.0,3.004291845493562
39,114,1066164,191.0,282.619998098,12,4.0,2.094240837696335
