,ad_id,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,Conversion Rate (%)
0,708746,7350,1.0,1.429999948,2,1.0,100.0
46,734785,5576,1.0,1.529999971,1,1.0,100.0
183,777398,3029,1.0,1.049999952,1,1.0,100.0
179,777235,2883,1.0,0.99000001,1,1.0,100.0
176,777105,4333,1.0,0.180000007,1,1.0,100.0
164,776699,8213,1.0,1.379999995,1,1.0,100.0
162,776696,7966,1.0,1.179999948,1,1.0,100.0
160,776668,3523,1.0,1.809999943,1,1.0,100.0
159,776663,15753,1.0,0.569999993,1,1.0,100.0
137,776464,7550,1.0,1.679999948,1,1.0,100.0
